feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
Blautia_SGB4805,HISTSYN-PWY:_L-histidine_biosynthesis,50.6201171875,0.0,3,1.03515625,6.132568359375,3.5838623046875,47.0362548828125,92.92008295553198
PWY-7663:_gondoate_biosynthesis_(anaerobic),METH-ACETATE-PWY:_methanogenesis_from_acetate,49.3662109375,0.0,3,6.5556640625,0.62646484375,3.591064453125,45.775146484375,92.72566319162826
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,P221-PWY:_octane_oxidation,61.83544921875,0.49851310897931067,6,0.6041259765625,8.5325927734375,4.568359375,57.26708984375,92.61207053119497
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic),106.677734375,7.78926732780174,6,5.54541015625,10.221923828125,7.8836669921875,98.7940673828125,92.6098289972354
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation,NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),51.416748046875,0.0,3,4.005126953125,3.72509765625,3.8651123046875,47.5516357421875,92.48277564896986
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,Dysosmobacter_welbionis,53.743896484375,0.0,6,0.146728515625,8.048095703125,4.097412109375,49.646484375,92.37604197424307
Ruminococcus_torques,Streptococcus_parasanguinis,57.09130859375,0.0,3,7.2685546875,1.6611328125,4.46484375,52.62646484375,92.17946853912404
GALACTUROCAT-PWY:_D-galacturonate_degradation_I,"PWY-5837:_2-carboxy-1,4-naphthoquinol_biosynthesis",53.457763671875,0.0,3,5.99609375,2.6240234375,4.31005859375,49.147705078125,91.93745061951107
Clostridium_sp_OM07_10AC,RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants),48.41455078125,0.7865488484485814,6,2.4317626953125,5.6685791015625,4.0501708984375,44.3643798828125,91.63439331134711
PWY-8073:_lipid_IVA_biosynthesis_(P._putida),VALSYN-PWY:_L-valine_biosynthesis,79.091796875,0.0,3,4.249755859375,9.072998046875,6.661376953125,72.430419921875,91.57766390912458
ECASYN-PWY:_enterobacterial_common_antigen_biosynthesis,NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),73.42529296875,0.0,3,8.9287109375,3.72509765625,6.326904296875,67.098388671875,91.38320864505404
PWY0-1221:_putrescine_degradation_II,Romboutsia_timonensis,52.428955078125,0.0,3,8.62353515625,0.493408203125,4.5584716796875,47.8704833984375,91.30543099152965
PWY66-429:_fatty_acid_biosynthesis_initiation_(mitochondria),Intestinimonas_butyriciproducens,62.003662109375,0.0,3,11.2705078125,0.005859375,5.63818359375,56.365478515625,90.90669260179473
GLUDEG-I-PWY:_GABA_shunt,PWY-5899:_superpathway_of_menaquinol-13_biosynthesis,45.47265625,0.0,3,2.0390625,6.47998046875,4.259521484375,41.213134765625,90.6327849841079
PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I,PWY-8073:_lipid_IVA_biosynthesis_(P._putida),47.349853515625,0.0,3,8.769287109375,0.145751953125,4.45751953125,42.892333984375,90.5859908737013
PWY-5097:_L-lysine_biosynthesis_VI,PWY-5659:_GDP-mannose_biosynthesis,48.0302734375,0.0,3,8.644287109375,0.474365234375,4.559326171875,43.470947265625,90.50739076510176
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis,"PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II",61.917724609375,0.0,3,0.235595703125,11.666259765625,5.950927734375,55.966796875,90.38897541549198
Adlercreutzia_equolifaciens,PWY490-3:_nitrate_reduction_VI_(assimilatory),67.010986328125,0.0,3,8.856201171875,4.0966796875,6.4764404296875,60.5345458984375,90.33525577735111
Ruminococcus_torques,Blautia_wexlerae,67.5931396484375,4.281623185731914,6,0.12939453125,12.973388671875,6.5513916015625,61.041748046875,90.3076086779852
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,Blautia_massiliensis,56.9461669921875,5.924523415592379,6,4.908203125,6.1365966796875,5.52239990234375,51.42376708984375,90.30242034885092
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,METH-ACETATE-PWY:_methanogenesis_from_acetate,58.95947265625,4.128023398703711,18,0.7325846354166666,11.073079427083334,5.90283203125,53.056640625,89.98832288466157
"PWY-241:_C4_photosynthetic_carbon_assimilation_cycle,_NADP-ME_type",GGB9512_SGB14909,75.875244140625,0.0,3,15.281005859375,0.0,7.6405029296875,68.2347412109375,89.93017681033511
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,P221-PWY:_octane_oxidation,63.484619140625,0.0,3,6.24169921875,6.96826171875,6.60498046875,56.879638671875,89.59593590044341
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,SULFATE-CYS-PWY:_superpathway_of_sulfate_assimilation_and_cysteine_biosynthesis,64.207763671875,0.0,3,0.1689453125,13.200439453125,6.6846923828125,57.5230712890625,89.58896556968764
GLUDEG-I-PWY:_GABA_shunt,ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose),50.720621744791664,2.986952365277195,9,2.0069173177083335,8.609375,5.308146158854167,45.4124755859375,89.53454043689982
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I,PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,51.699951171875,0.0,3,9.396484375,1.495849609375,5.4461669921875,46.2537841796875,89.46581791908879
PWY-7805:_(aminomethyl)phosphonate_degradation,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,69.48724365234375,2.7486949872888546,12,14.3182373046875,0.3419189453125,7.330078125,62.15716552734375,89.45118882298225
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),METH-ACETATE-PWY:_methanogenesis_from_acetate,52.3531494140625,2.1672215550503493,6,5.00244140625,6.09423828125,5.54833984375,46.8048095703125,89.40208964341758
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,Blautia_wexlerae,72.54634817023026,5.032105287441607,57,3.5317511307565788,12.408935546875,7.970343338815789,64.57600483141447,89.01344652095602
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,ARO-PWY:_chorismate_biosynthesis_I,48.677001953125,0.0,3,8.069091796875,2.6689453125,5.3690185546875,43.3079833984375,88.97011249818188
Odoribacter_splanchnicus,PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii),84.7972412109375,1.2819863668950269,6,12.083251953125,6.9052734375,9.4942626953125,75.302978515625,88.80357124862702
"PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type",Blautia_glucerasea,90.8671875,0.0,3,19.895751953125,0.619140625,10.2574462890625,80.6097412109375,88.71160583784713
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),PWY-7664:_oleate_biosynthesis_IV_(anaerobic),52.617431640625,0.0,3,5.67333984375,6.24755859375,5.96044921875,46.656982421875,88.67210155854882
PYRIDOXSYN-PWY:_pyridoxal_5'-phosphate_biosynthesis_I,Fusicatenibacter_saccharivorans,68.71142578125,0.0,3,0.1689453125,15.4970703125,7.8330078125,60.87841796875,88.60013786144214
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate,56.081461588541664,3.37778323921124,9,2.4352213541666665,10.626139322916666,6.530680338541666,49.55078125,88.35501045522682
