cohort	disease	rank_in_cohort	base	contributing	total_IG_mean	base_IG_1D_mean	IG_2D_added_mean	ig_gain_pct
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	9	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	Escherichia_coli	56.0086669921875	0.4620361328125	55.546630859375	12022.14002642008
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	10	Eubacterium_sp_CAG_180	TRNA-CHARGING-PWY:_tRNA_charging	55.8707275390625	12.708251953125	43.1624755859375	339.64132710890823
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	11	Bacteroides_pectinophilus	TRNA-CHARGING-PWY:_tRNA_charging	54.8424072265625	19.4603881835938	35.3820190429688	181.81558717722717
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	12	PWY-6609:_adenine_and_adenosine_salvage_III	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	54.2543233235677	22.700276692708332	31.554046630859364	139.00291638733634
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	13	Collinsella_aerofaciens	TRNA-CHARGING-PWY:_tRNA_charging	54.1364135742188	10.066650390625	44.0697631835938	437.779812286276
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	14	Firmicutes_bacterium_CAG_145	TRNA-CHARGING-PWY:_tRNA_charging	53.8840942382812	12.4633178710938	41.4207763671875	332.34149040886456
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	15	Escherichia_coli	Allisonella_histaminiformans	53.83935546875	21.1271362304688	32.7122192382812	154.8350845161154
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	16	Roseburia_sp_CAG_303	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	53.61231994628905	17.6925659179688	35.9197540283203	203.02173350582083
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	17	Escherichia_coli	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	53.5588073730469	21.1271362304688	32.4316711425781	153.50718047534667
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	18	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	Escherichia_coli	53.5588073730469	17.14501953125	36.4137878417969	212.38697206162976
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	19	Intestinimonas_butyriciproducens	TRNA-CHARGING-PWY:_tRNA_charging	53.5170288085938	18.1415405273438	35.37548828125	194.997157093304
MetaCardis_2020_a	CAD; HF; IGT; T2D; control	20	PWY-6609:_adenine_and_adenosine_salvage_III	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	53.4444580078125	26.9241943359375	26.520263671875	98.49974837121368
NagySzakalD_2017	ME/CFS; control	1	Campylobacter_hominis	Coprococcus_catus	27.1356353759766	1.31524658203125	25.8203887939453	1963.1595433662803
NagySzakalD_2017	ME/CFS; control	2	Alistipes_inops	Coprococcus_catus	26.9833908081055	0.710067749023438	26.273323059082	3700.11496722896
NielsenHB_2014	IBD; control	1	Gemmiger_formicilis	Gordonibacter_pamelaeae	40.9622497558594	0.0358734130859375	40.9263763427734	114085.53806890675
NielsenHB_2014	IBD; control	2	Gordonibacter_pamelaeae	Gemmiger_formicilis	40.9622497558594	14.6438446044922	26.3184051513672	179.7233299190683
NielsenHB_2014	IBD; control	3	Gordonibacter_pamelaeae	Blautia_hydrogenotrophica	40.6556091308594	14.6438446044922	26.0117645263672	177.62934003265602
NielsenHB_2014	IBD; control	4	Faecalibacterium_prausnitzii	Gordonibacter_pamelaeae	39.8868560791016	1.3011474609375	38.5857086181641	2965.513884979832
NielsenHB_2014	IBD; control	5	Gordonibacter_pamelaeae	Faecalibacterium_prausnitzii	39.8868560791016	14.6438446044922	25.2430114746094	172.37967321003777
NielsenHB_2014	IBD; control	6	Ruminococcus_lactaris	Blautia_hydrogenotrophica	37.885986328125	2.4002482096354147	35.485738118489564	1478.4195224492914
NielsenHB_2014	IBD; control	7	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Gordonibacter_pamelaeae	37.8634185791016	4.10249328613281	33.7609252929688	822.9367591432022
NielsenHB_2014	IBD; control	8	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Blautia_hydrogenotrophica	37.190185546875	4.10249328613281	33.0876922607422	806.5264207155378
NielsenHB_2014	IBD; control	9	Eubacterium_hallii	Akkermansia_muciniphila	36.5453948974609	3.45382690429688	33.0915679931641	958.1130991826816
NielsenHB_2014	IBD; control	10	Acidaminococcus_intestini	Gordonibacter_pamelaeae	35.6553497314453	9.58273315429688	26.0726165771484	272.07912562458745
NielsenHB_2014	IBD; control	11	PWY-5100:_pyruvate_fermentation_to_acetate_and_lactate_II	Coprococcus_eutactus	35.6285095214844	4.10249328613281	31.5260162353516	768.4599105113809
NielsenHB_2014	IBD; control	12	Gemella_morbillorum	Eubacterium_sulci	35.4635162353516	10.2053527832031	25.2581634521484	247.49917017783636
