disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	Eubacterium_ventriosum	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	28.004526774088532	25.954610188802064	30.054443359375	5767.120757745855
IBD; control	PWY-6737:_starch_degradation_V	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.943209330240865	27.87527974446613	28.0111389160156	439447.6598077197
IBD; control	Fusicatenibacter_saccharivorans	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.8630599975586	26.0840148925781	29.6421051025391	10601.060896323264
IBD; control	Bacteroides_vulgatus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.734954833984347	26.3108978271484	29.1590118408203	11406.692492944881
IBD; control	Collinsella_stercoris	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.56903076171875	26.994384765625	28.1436767578125	7515.770580583108
IBD; control	Eubacterium_ramulus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.4303436279297	25.4259185791016	29.4347686767578	34349.66666244898
IBD; control	Monoglobus_pectinilyticus	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.301963806152376	25.5501403808594	29.05378723144535	19028.95540130448
IBD; control	Bacteroides_finegoldii	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.297340393066424	27.2787475585938	27.31593322753905	1326.2662463300553
IBD; control	Bilophila_wadsworthia	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	27.22715759277345	24.8790283203125	29.5752868652344	5789506.716417901
IBD; control	PWY-6123:_inosine-5'-phosphate_biosynthesis_I	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	27.052173614501953	26.840644836425803	27.2637023925781	3522.458063538714
IBD; control	Eubacterium_hallii	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	2	HallAB_2017, NielsenHB_2014	27.005928039550803	25.5697174072266	28.442138671875	2248.076203299561
IBD; control	Bacteroides_thetaiotaomicron	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	26.992057800292947	26.215087890625	27.7690277099609	2127.4599458010116
